speaker,participation_share,retrieval_share,representation_ratio,gini,max_gap
A,0.12242348532167395,0.0128,0.10455510204081633,0.44160000000000005,2.841152724528302
B,0.1655215490318551,0.008,0.04833207547169811,0.44160000000000005,2.841152724528302
C,0.15427857589006871,0.3168,2.0534283400809716,0.44160000000000005,2.841152724528302
D,0.07807620237351655,0.2256,2.8894848,0.44160000000000005,2.841152724528302
E,0.1599000624609619,0.16,1.000625,0.44160000000000005,2.841152724528302
F,0.18988132417239226,0.232,1.2218157894736843,0.44160000000000005,2.841152724528302
G,0.12991880074953155,0.0448,0.3448307692307692,0.44160000000000005,2.841152724528302
