speaker,message_count,retrieval_count,participation_share,retrieval_share,representation_ratio,gini,max_gap
A,196,86,0.12242348532167395,0.1376,1.1239673469387756,0.22491428571428576,0.19680000000000003
B,265,52,0.1655215490318551,0.0832,0.5026535849056604,0.22491428571428576,0.19680000000000003
C,247,164,0.15427857589006871,0.2624,1.7008194331983806,0.22491428571428576,0.19680000000000003
D,125,41,0.07807620237351655,0.0656,0.8402048000000001,0.22491428571428576,0.19680000000000003
E,256,91,0.1599000624609619,0.1456,0.9105687500000001,0.22491428571428576,0.19680000000000003
F,304,109,0.18988132417239226,0.1744,0.9184684210526316,0.22491428571428576,0.19680000000000003
G,208,82,0.12991880074953155,0.1312,1.0098615384615386,0.22491428571428576,0.19680000000000003
